SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MOTHERWELL UP CIVIL ENG,MOTHUCE,0,MCA,274974,657979,888888
MOTHERWELL W.R.D.,MOTHWRD,0,MCA,274870,657905,888888
MOTHERWELL WEIGHS C.H.S.,MOTHWCS,0XM,MCA,275007,657178,888888
MOTSPUR PARK,MOTSPRP,MOT,MSN,522582,167734,999999
MOTSPUR PARK JN,MOTSPJN,0,MCA,522416,167026,999999
MOTTINGHAM,MOTNGHM,MTG,MSN,542544,173250,999999
MOTTISFONT & DUNBRIDGE,MOTFONT,DBG,MSN,431877,126149,999999
MOTTRAM YARD STAFF HALT,MTRMYSH,0,MCA,400820,394007,999999
MOULDSWORTH,MLDSWTH,MLD,MSN,351224,370780,999999
MOULDSWORTH JN,MLDSWTJ,0,MCA,351224,370780,999999
MOULSECOOMB,MLSECMB,MCB,MSN,532521,106911,999999
MOULTON,MOULTON,0,MCA,616246,289696,999999
MOUNT FLORIDA,MTFL,MFL,MSN,258454,661572,100191
MOUNT GOULD CARRIAGE WASH,MNTGLCW,0,MCA,250126,55125,999999
MOUNT GOULD JN,MNTGLDJ,0XM,MCA,250203,55214,999999
MOUNT VERNON,MNTVRNN,MTV,MSN,266512,662850,100236
MOUNTAIN ASH,MASH,MTA,MSN,304854,199049,999999
MOUNTFIELD SIDINGS,MNTFLDS,0XM,MCA,573361,119876,999999
MOUNTFIELD SIDINGS (GBRF),MNTFGBR,0XM,MCA,573362,119876,999999
MOUNTFIELD TUNNEL,MNTFLDT,0,MCA,573221,120234,999999
MOUNTNESSING JUNCTION,MNTNJN,0,MCA,562820,196110,999999
MOUNTSORELL GBRF,MOUNGBR,0,MCA,458870,316698,999999
MOUNTSORREL SDGS,MOUNTSS,0,MCA,458648,316784,999999
MOUNTSORRELL LOCO SRVCG RD,MOUNTSL,0,MCA,458770,316773,999999
MOY,MOYY,0,MCA,276439,834479,888888
MUIR OF ORD,MUROORD,MOO,MSN,252745,850136,100026
MUIR OF ORD DOWN SDG DCL,MURODS,0,MCA,252768,850086,888888
MUIR OF ORD UP SIDING,MUROUS,0,MCA,252739,849976,888888
MUIREND,MUIREND,MUI,MSN,257597,659762,100173
MUIRHOUSE CENTRAL JN,MRHSCJ,0,MCA,257947,663072,888888
MUIRHOUSE NORTH JN,MRHSNJ,0,MCA,258162,663316,888888
MUIRHOUSE SOUTH JN,MRHSSJ,0,MCA,257689,662814,888888
MULBEN,MULBEN,0,MCA,335634,850838,888888
MURTHLY,MURTHLY,0,MCA,310113,738339,888888
MUSSELBURGH,MSELBGH,MUB,MSN,333070,671691,100329
MYTHOLMROYD,MYTHLMR,MYT,MSN,401300,425851,999999
NADINS DISPOSAL POINT,NADINS,0,MCA,425880,319650,999999
NAFFERTON,NAFERTN,NFN,MSN,505887,458458,999999
NAILSEA & BACKWELL,NAILSEA,NLS,MSN,347944,169221,999999
NAIRN,NAIRN,NRN,MSN,288175,856014,100038
NANTWICH,NANTWCH,NAN,MSN,365314,351931,999999
NAPSBURY,STALNAP,0,MCA,516071,204190,999999
NARBERTH,NRBERTH,NAR,MSN,212044,214684,999999
NARBOROUGH,NARBRO,NBR,MSN,454112,297349,999999
NARROWAYS HILL JN,STPLNAR,0,MCA,360432,174815,999999
NAVARINO ROAD JN,NAVRDJ,0,MCA,534392,184938,999999
NAVIGATION ROAD,NAVGTNR,NVR,MSN,377272,388829,999999
NEASDEN CHARRINGTON FLHH,NEASFHH,0,MCA,521378,185131,999999
NEASDEN CHARRINGTON SDGS,NEASCSG,0,MCA,521376,185144,999999
NEASDEN DEPOT,NEASDND,0,MCA,520862,185753,999999
NEASDEN ENGINEERS SDGS,NEASDGS,0,MCA,521377,185138,999999
NEASDEN JN,NEASJN,0,MCA,521352,184991,999999
NEASDEN SOUTH JN,NEASDSJ,0XN,MCA,521173,185432,999999
NEASDEN SOUTH JN SIG ME25,NEAS25,0,MCA,521352,184991,999999
NEASDEN SOUTH JN SIG ME327,NEAS327,0,MCA,521352,184991,999999
NEASDEN SOUTH JN SIG ME34,NEAS34,0,MCA,521352,184991,999999
NEASDEN SOUTH JN SIG ME525,NEAS525,0,MCA,521352,184991,999999
NEASDEN SOUTH JN SIG ME536,NEAS536,0,MCA,521352,184991,999999
NEASDEN SOUTH SIDINGS,NEASDNS,0,MCA,520826,185497,999999
NEASDEN T.C.,NEASTC,0,MCA,521296,184981,999999
NEATH,NEATH,NTH,MSN,275089,197462,999999
NEATH ABBEY WHARF,NEATABW,0,MCA,272835,196322,999999
NEATH EAST (CE),NEATCE,0,MCA,274785,196861,999999
NEATH N & B JN,NEATNBJ,0,MCA,275325,198185,999999
NEEDHAM MARKET,NEEDHAM,NMT,MSN,609140,254870,999999
